date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:25	142920/142920	---M--	200	added ('OK')	font/woff	etag:W/%2222e48-18d42876510%22	https://app.retherswap.org/static/media/Inter-ExtraBold.ab70688a.woff	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-ExtraBold.ab70688a.woff	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:25	111708/111708	---M--	200	added ('OK')	font/woff2	etag:W/%221b45c-18d42876510%22	https://app.retherswap.org/static/media/Inter-ExtraBoldItalic.fcc7d60e.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-ExtraBoldItalic.fcc7d60e.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:25	150628/150628	---M--	200	added ('OK')	font/woff	etag:W/%2224c64-18d42876510%22	https://app.retherswap.org/static/media/Inter-ExtraBoldItalic.728a4c7d.woff	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-ExtraBoldItalic.728a4c7d.woff	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:25	102868/102868	---M--	200	added ('OK')	font/woff2	etag:W/%22191d4-18d42876510%22	https://app.retherswap.org/static/media/Inter-Black.661569af.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-Black.661569af.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:25	138764/138764	---M--	200	added ('OK')	font/woff	etag:W/%2221e0c-18d42876510%22	https://app.retherswap.org/static/media/Inter-Black.d0b121f3.woff	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-Black.d0b121f3.woff	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:26	108752/108752	---M--	200	added ('OK')	font/woff2	etag:W/%221a8d0-18d42876510%22	https://app.retherswap.org/static/media/Inter-BlackItalic.a3cc36c8.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-BlackItalic.a3cc36c8.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:26	146824/146824	---M--	200	added ('OK')	font/woff	etag:W/%2223d88-18d42876510%22	https://app.retherswap.org/static/media/Inter-BlackItalic.e3329b2b.woff	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-BlackItalic.e3329b2b.woff	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:27	245036/245036	---M--	200	added ('OK')	font/woff2	etag:W/%223bd2c-18d42876510%22	https://app.retherswap.org/static/media/Inter-italic.var.1f7ca638.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-italic.var.1f7ca638.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:27	227180/227180	---M--	200	added ('OK')	font/woff2	etag:W/%223776c-18d42876510%22	https://app.retherswap.org/static/media/Inter-roman.var.66c6e408.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter-roman.var.66c6e408.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
18:09:27	324864/324864	---M--	200	added ('OK')	font/woff2	etag:W/%224f500-18d42876510%22	https://app.retherswap.org/static/media/Inter.var.8dd26c3d.woff2	C:/My%20Web%20Sites/rether/app.retherswap.org/static/media/Inter.var.8dd26c3d.woff2	(from https://app.retherswap.org/static/css/3.e2991308.chunk.css)
